產品編號,品牌,種類,產品名稱,產品系列,簡稱
PD000000153,Bort,Knee,"Bort #114410 Stabilo Knee Brace without Stays ""M""",Bort #114410 Stabilo Knee Brace without Stays,"Bort #114410 Stabilo Knee Brace without Stays ""M"""
PD000000154,Bort,Knee,"Bort #114410 Stabilo Knee Brace without Stays ""L""",Bort #114410 Stabilo Knee Brace without Stays,"Bort #114410 Stabilo Knee Brace without Stays ""L"""
PD000000155,Bort,Knee,"Bort #114420 StabiloGen ""S""",Bort #114420 StabiloGen,"Bort #114420 StabiloGen ""S"""
PD000000156,Bort,Knee,"Bort #114420 StabiloGen ""M""",Bort #114420 StabiloGen,"Bort #114420 StabiloGen ""M"""
PD000000157,Bort,Knee,"Bort #114420 StabiloGen ""L""",Bort #114420 StabiloGen,"Bort #114420 StabiloGen ""L"""
PD000000158,Bort,Knee,"Bort #114420 StabiloGen ""XL""",Bort #114420 StabiloGen,"Bort #114420 StabiloGen ""XL"""
PD000000159,Bort,Knee,"Bort #114150 Knee Bandage w/Recess for Patella ""S""",Bort #114150 Knee Bandage w/Recess for Patella,"Bort #114150 Knee Bandage w/Recess for Patella ""S"""
PD000000160,Bort,Knee,"Bort #114150 Knee Bandage w/Recess for Patella ""M""",Bort #114150 Knee Bandage w/Recess for Patella,"Bort #114150 Knee Bandage w/Recess for Patella ""M"""
PD000000161,Bort,Knee,"Bort #114150 Knee Bandage w/Recess for Patella ""L""",Bort #114150 Knee Bandage w/Recess for Patella,"Bort #114150 Knee Bandage w/Recess for Patella ""L"""
PD000000162,Bort,Knee,"Bort #114150 Knee Bandage w/Recess for Patella ""XL",Bort #114150 Knee Bandage w/Recess for Patella,"Bort #114150 Knee Bandage w/Recess for Patella ""XL"
PD000000163,Bort,Knee,"Bort #114700 Asymmetric (Left) ""S""",Bort #114700 Asymmetric (Left),"Bort #114700 Asymmetric (Left) ""S"""
PD000000164,Bort,Knee,"Bort #114700 Asymmetric (Left) ""M""",Bort #114700 Asymmetric (Left),"Bort #114700 Asymmetric (Left) ""M"""
